# Contract Training Data
# Format: INPUT_TEXT|CATEGORY|EXPECTED_RESPONSE_TYPE

approval status for contract 123456|CONTRACT_APPROVAL|CONTRACT_APPROVAL
contract 123456 compliance requirements|CONTRACT_COMPLIANCE|CONTRACT_COMPLIANCE
regulatory compliance for contract 123456|CONTRACT_COMPLIANCE|CONTRACT_COMPLIANCE
contract 123456 service level agreements|CONTRACT_SLA|CONTRACT_SLA
SLA metrics for contract 123456|CONTRACT_SLA|CONTRACT_SLA
contract 123456 support terms|CONTRACT_SUPPORT|CONTRACT_SUPPORT
technical support for contract 123456|CONTRACT_SUPPORT|CONTRACT_SUPPORT
contract 123456 warranty information|CONTRACT_WARRANTY|CONTRACT_WARRANTY
warranty terms for contract 123456|CONTRACT_WARRANTY|CONTRACT_WARRANTY
contract 123456 liability coverage|CONTRACT_LIABILITY|CONTRACT_LIABILITY
insurance requirements for contract 123456|CONTRACT_LIABILITY|CONTRACT_LIABILITY
contract 123456 intellectual property rights|CONTRACT_IP|CONTRACT_IP
IP ownership for contract 123456|CONTRACT_IP|CONTRACT_IP
contract 123456 confidentiality terms|CONTRACT_CONFIDENTIALITY|CONTRACT_CONFIDENTIALITY
NDA terms for contract 123456|CONTRACT_CONFIDENTIALITY|CONTRACT_CONFIDENTIALITY
contract 123456 dispute resolution|CONTRACT_DISPUTE|CONTRACT_DISPUTE
arbitration clause for contract 123456|CONTRACT_DISPUTE|CONTRACT_DISPUTE
contract 123456 force majeure|CONTRACT_FORCE_MAJEURE|CONTRACT_FORCE_MAJEURE
force majeure clause for contract 123456|CONTRACT_FORCE_MAJEURE|CONTRACT_FORCE_MAJEURE
contract 123456 governing law|CONTRACT_GOVERNING_LAW|CONTRACT_GOVERNING_LAW
jurisdiction for contract 123456|CONTRACT_GOVERNING_LAW|CONTRACT_GOVERNING_LAW
contract 123456 amendments|CONTRACT_AMENDMENTS|CONTRACT_AMENDMENTS
how to amend contract 123456|CONTRACT_AMENDMENTS|CONTRACT_AMENDMENTS
contract 123456 delivery terms|CONTRACT_DELIVERY|CONTRACT_DELIVERY
delivery schedule for contract 123456|CONTRACT_DELIVERY|CONTRACT_DELIVERY
contract 123456 acceptance criteria|CONTRACT_ACCEPTANCE|CONTRACT_ACCEPTANCE
acceptance testing for contract 123456|CONTRACT_ACCEPTANCE|CONTRACT_ACCEPTANCE
contract 123456 performance metrics|CONTRACT_PERFORMANCE|CONTRACT_PERFORMANCE
KPIs for contract 123456|CONTRACT_PERFORMANCE|CONTRACT_PERFORMANCE
contract 123456 reporting requirements|CONTRACT_REPORTING|CONTRACT_REPORTING
monthly reports for contract 123456|CONTRACT_REPORTING|CONTRACT_REPORTING
contract 123456 audit rights|CONTRACT_AUDIT|CONTRACT_AUDIT
audit schedule for contract 123456|CONTRACT_AUDIT|CONTRACT_AUDIT
contract 123456 data protection|CONTRACT_DATA_PROTECTION|CONTRACT_DATA_PROTECTION
GDPR compliance for contract 123456|CONTRACT_DATA_PROTECTION|CONTRACT_DATA_PROTECTION
contract 123456 export controls|CONTRACT_EXPORT_CONTROLS|CONTRACT_EXPORT_CONTROLS
export restrictions for contract 123456|CONTRACT_EXPORT_CONTROLS|CONTRACT_EXPORT_CONTROLS
contract 123456 subcontracting terms|CONTRACT_SUBCONTRACTING|CONTRACT_SUBCONTRACTING
subcontractor approval for contract 123456|CONTRACT_SUBCONTRACTING|CONTRACT_SUBCONTRACTING
contract 123456 change management|CONTRACT_CHANGE_MANAGEMENT|CONTRACT_CHANGE_MANAGEMENT
change request process for contract 123456|CONTRACT_CHANGE_MANAGEMENT|CONTRACT_CHANGE_MANAGEMENT
contract 123456 escalation procedures|CONTRACT_ESCALATION|CONTRACT_ESCALATION
escalation matrix for contract 123456|CONTRACT_ESCALATION|CONTRACT_ESCALATION
contract 123456 communication protocols|CONTRACT_COMMUNICATION|CONTRACT_COMMUNICATION
communication plan for contract 123456|CONTRACT_COMMUNICATION|CONTRACT_COMMUNICATION
contract 123456 training requirements|CONTRACT_TRAINING|CONTRACT_TRAINING
training schedule for contract 123456|CONTRACT_TRAINING|CONTRACT_TRAINING
contract 123456 quality assurance|CONTRACT_QUALITY|CONTRACT_QUALITY
quality standards for contract 123456|CONTRACT_QUALITY|CONTRACT_QUALITY
contract 123456 environmental compliance|CONTRACT_ENVIRONMENTAL|CONTRACT_ENVIRONMENTAL
environmental impact for contract 123456|CONTRACT_ENVIRONMENTAL|CONTRACT_ENVIRONMENTAL
contract 123456 health and safety|CONTRACT_HEALTH_SAFETY|CONTRACT_HEALTH_SAFETY
safety requirements for contract 123456|CONTRACT_HEALTH_SAFETY|CONTRACT_HEALTH_SAFETY
contract 123456 business continuity|CONTRACT_BUSINESS_CONTINUITY|CONTRACT_BUSINESS_CONTINUITY
disaster recovery for contract 123456|CONTRACT_BUSINESS_CONTINUITY|CONTRACT_BUSINESS_CONTINUITY
contract 123456 technology requirements|CONTRACT_TECHNOLOGY|CONTRACT_TECHNOLOGY
technical specifications for contract 123456|CONTRACT_TECHNOLOGY|CONTRACT_TECHNOLOGY
contract 123456 integration requirements|CONTRACT_INTEGRATION|CONTRACT_INTEGRATION
system integration for contract 123456|CONTRACT_INTEGRATION|CONTRACT_INTEGRATION
contract 123456 testing protocols|CONTRACT_TESTING|CONTRACT_TESTING
testing procedures for contract 123456|CONTRACT_TESTING|CONTRACT_TESTING
contract 123456 documentation requirements|CONTRACT_DOCUMENTATION|CONTRACT_DOCUMENTATION
documentation standards for contract 123456|CONTRACT_DOCUMENTATION|CONTRACT_DOCUMENTATION
contract 123456 knowledge transfer|CONTRACT_KNOWLEDGE_TRANSFER|CONTRACT_KNOWLEDGE_TRANSFER
knowledge transfer plan for contract 123456|CONTRACT_KNOWLEDGE_TRANSFER|CONTRACT_KNOWLEDGE_TRANSFER
contract 123456 transition planning|CONTRACT_TRANSITION|CONTRACT_TRANSITION
transition timeline for contract 123456|CONTRACT_TRANSITION|CONTRACT_TRANSITION
contract 123456 risk management|CONTRACT_RISK_MANAGEMENT|CONTRACT_RISK_MANAGEMENT
risk assessment for contract 123456|CONTRACT_RISK_MANAGEMENT|CONTRACT_RISK_MANAGEMENT
contract 123456 contingency planning|CONTRACT_CONTINGENCY|CONTRACT_CONTINGENCY
contingency measures for contract 123456|CONTRACT_CONTINGENCY|CONTRACT_CONTINGENCY
contract 123456 success criteria|CONTRACT_SUCCESS_CRITERIA|CONTRACT_SUCCESS_CRITERIA
success metrics for contract 123456|CONTRACT_SUCCESS_CRITERIA|CONTRACT_SUCCESS_CRITERIA
